Experiment,Reporting Label,Round,Training Loss,Test Loss,Test Accuracy (%),Cumulative Peak Accuracy (%),Source File
DP-4,DP noise 0.020,10,1.1771609913635257,3.2310792640515955,26.93,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,11,1.181763105316162,3.626516576025896,20.49,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,12,1.1801060068511962,9.616129213078008,10.43,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,13,1.1733590574264527,4.005982594884885,23.58,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,14,1.1761589651107789,5.016748654614588,21.84,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,15,1.17133422039032,6.631303863160929,17.77,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,16,1.173334563331604,5.201997179893931,23.32,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,17,1.166167886543274,5.215313091399564,21.1,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,18,1.1820041730308533,4.871835242411134,21.62,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,19,1.1931008164024353,6.883021251411195,13.79,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,20,1.201786676158905,4.214329932146011,20.99,26.93,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,21,1.2121715476989745,2.211720059631737,30.16,30.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,22,1.219234826145172,4.522593361556909,17.61,30.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,23,1.2268345547103885,7.7700780576961055,20.74,30.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,24,1.2379201383399965,4.58036357885713,26.43,30.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,25,1.2641188172531128,3.71968993259843,23.64,30.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,26,1.281799486694336,3.839029249871612,20.21,30.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,27,1.2907348983192444,2.4763103746304846,24.72,30.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,28,1.293511442375183,3.125887478992438,23.07,30.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,29,1.30443966217041,4.410055418682706,23.49,30.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
DP-4,DP noise 0.020,30,1.3092738440895082,3.9731441166750185,20.92,30.16,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\DP-4_history.csv
SA-1,DP 0.001 + mask recovery,1,1.7109111653900146,2.3026967686452684,10.0,10.0,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,2,1.459320881767273,1.9871507017475785,25.76,25.76,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,3,1.2165932371902466,1.3525955927599769,46.39,46.39,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,4,1.0394613669776915,1.1331803407638696,59.26,59.26,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,5,0.9055378182220458,1.106054825008295,62.5,62.5,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,6,0.8153696578979492,0.8062365112031341,71.56,71.56,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,7,0.7524268275260926,0.7305764698298873,74.59,74.59,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,8,0.6875565215301513,0.8972806017489949,70.05,74.59,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,9,0.6311886630916596,1.1793398166158398,64.84,74.59,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,10,0.5847245418739319,1.0703828505649688,69.67,74.59,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,11,0.548816025981903,0.8108019424471885,74.32,74.59,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
